Element Atomic number Z 	Symbol 	Name  	Origin of name 	Group 	Period 	Block 	Standard atomic weight Ar°(E) (Da) 	Density (g/cm3) 	Melting point (K) 	Boiling point (K) 	Specific heat capacity (J/g · K) 	Electro­negativity 	Abundance in Earth's crust (mg/kg) 	Origin 	Phase at r.t.
1 	H 	Hydrogen 	Greek elements hydro- and -gen, 'water-forming' 	1 	1 	s-block 	1.0080 	0.00008988 	14.01 	20.28 	14.304 	2.20 	1400 	primordial 	gas
2 	He 	Helium 	Greek hḗlios, 'sun' 	18 	1 	s-block 	4.0026 	0.0001785 	– 	4.22 	5.193 	– 	0.008 	primordial 	gas
3 	Li 	Lithium 	Greek líthos, 'stone' 	1 	2 	s-block 	6.94 	0.534 	453.69 	1560 	3.582 	0.98 	20 	primordial 	solid
4 	Be 	Beryllium 	Beryl, a mineral (ultimately from the name of Belur in southern India) 	2 	2 	s-block 	9.0122 	1.85 	1560 	2742 	1.825 	1.57 	2.8 	primordial 	solid
5 	B 	Boron 	Borax, a mineral (from Arabic bawraq, Middle Persian *bōrag) 	13 	2 	p-block 	10.81 	2.34 	2349 	4200 	1.026 	2.04 	10 	primordial 	solid
6 	C 	Carbon 	Latin carbo, 'coal' 	14 	2 	p-block 	12.011 	2.267 	>4000 	4300 	0.709 	2.55 	200 	primordial 	solid
7 	N 	Nitrogen 	Greek nítron and -gen, 'niter-forming' 	15 	2 	p-block 	14.007 	0.0012506 	63.15 	77.36 	1.04 	3.04 	19 	primordial 	gas
8 	O 	Oxygen 	Greek oxy- and -gen, 'acid-forming' 	16 	2 	p-block 	15.999 	0.001429 	54.36 	90.20 	0.918 	3.44 	461000 	primordial 	gas
9 	F 	Fluorine 	Latin fluere, 'to flow' 	17 	2 	p-block 	18.998 	0.001696 	53.53 	85.03 	0.824 	3.98 	585 	primordial 	gas
10 	Ne 	Neon 	Greek néon, 'new' 	18 	2 	p-block 	20.180 	0.0009002 	24.56 	27.07 	1.03 	– 	0.005 	primordial 	gas
11 	Na 	Sodium 	Coined by Humphry Davy who first isolated it, from English soda (specifically caustic soda), via Italian from Arabic ṣudāʕ 'headache' ·  Symbol Na is derived from Neo-Latin natrium, coined from German Natron, 'natron' 	1 	3 	s-block 	22.990 	0.968 	370.87 	1156 	1.228 	0.93 	23600 	primordial 	solid
12 	Mg 	Magnesium 	Magnesia, a district of Eastern Thessaly in Greece 	2 	3 	s-block 	24.305 	1.738 	923 	1363 	1.023 	1.31 	23300 	primordial 	solid
13 	Al 	Aluminium 	Alumina, from Latin alumen (gen. aluminis), 'bitter salt, alum' 	13 	3 	p-block 	26.982 	2.70 	933.47 	2792 	0.897 	1.61 	82300 	primordial 	solid
14 	Si 	Silicon 	Latin silex, 'flint' (originally silicium) 	14 	3 	p-block 	28.085 	2.3290 	1687 	3538 	0.705 	1.9 	282000 	primordial 	solid
15 	P 	Phosphorus 	Greek phōsphóros, 'light-bearing' 	15 	3 	p-block 	30.974 	1.823 	317.30 	550 	0.769 	2.19 	1050 	primordial 	solid
16 	S 	Sulfur 	Latin 	16 	3 	p-block 	32.06 	2.07 	388.36 	717.87 	0.71 	2.58 	350 	primordial 	solid
