name,food_group,calories_kcal,fat_g,protein_g_kg,carbohydrate_g,sugars_g,fiber_g,cholesterol_mg,saturated_fats_g,calcium_mg,iron_mg,potassium_mg,magnesium_mg,vitamin_a_iu,vitamin_a_mcg,vitamin_c_mg,vitamin_b12_mcg,vitamin_d_mcg,vitamin_e_mg,added_sugar_g,net_carbs_g,water_g,omega_3s_mg,omega_6s_mg,pral_score,trans_fatty_acids_g,soluble_fiber_g,insoluble_fiber_g,sucrose_g,glucose_dextrose_g,fructose_g,lactose_g,maltose_g,galactose_g,starch_g,total_sugar_alcohols_g,phosphorus_mg,sodium_mg,zinc_mg,copper_mg,manganese_mg,selenium_mcg,fluoride_mcg,molybdenum_mcg,chlorine_mg,thiamin_mg,riboflavin_mg,niacin_mg,pantothenic_acid_mg,vitamin_b6_mg,biotin_mcg,folate_mcg,folic_acid_mcg,food_folate_mcg,folate_mcg_1,choline_mg,betaine_mg,retinol_mcg,carotene_beta_mcg,carotene_alpha_mcg,lycopene_mcg,lutein_and_zeaxanthin_mcg,vitamin_d2_mcg,vitamin_d3_mcg,vitamin_d_iu,vitamin_k_mcg,dihydrophylloquinone_mcg,menaquinone_4_mcg,fatty_acids_total_monounsaturated_mg,fatty_acids_total_polyunsaturated_mg,ala_mg,epa_mg,dpa_mg,dha_mg,tryptophan_mg_kg,threonine_mg_kg,isoleucine_mg_kg,leucine_mg_kg,lysine_mg_kg,valine_mg_kg,arginine_mg,histidine_mg_kg,alanine_mg,aspartic_acid_mg,glutamic_acid_mg,glycine_mg,proline_mg,serine_mg,hydroxyproline_mg,alcohol_g,caffeine_mg,theobromine_mg,200_calorie_weight_g,phenylalanine_and_tyrosine_mg_kg,methionine_and_cysteine_mg_kg
Beans Pinto Mature Seeds Raw,Beans and Lentils,347,1.23,21.42,62.55,2.11,15.5,0.0,0.235,113.0,5.07,1393.0,176.0,0.0,0.0,6.3,0.0,0.0,0.21,,47.05,11.33,237.0,170.0,-9.787,0.0,,,1.98,0.13,0.0,0.0,0.0,0.0,34.17,,411.0,12.0,2.28,0.893,1.148,27.9,,,,0.713,0.212,1.1740000000000002,0.785,0.474,,525.0,0.0,525.0,525.0,66.2,0.4,0.0,0.0,0.0,0.0,0.0,,,0.0,5.6,0.0,,229.0,407.0,,0.0,0.0,0.0,237.0,810.0,871.0,1558.0,1356.0,998.0,1096.0,556.0,872.0,2268.0,3027.0,796.0,1072.0,1171.0,,0.0,0.0,0.0,57.637,1522.0,446.0
Boiled Red Kidney Beans,Beans and Lentils,123,0.17,9.49,21.85,,9.3,0.0,0.024,44.0,2.77,378.0,42.0,3.0,0.0,1.2,0.0,0.0,,,12.55,66.99,57.0,36.0,0.252,0.0,,,,,,,,,,,142.0,5.0,0.9,0.262,0.255,1.2,,,,0.095,0.067,0.552,0.219,0.104,,74.0,0.0,74.0,74.0,,,0.0,,,,,,,0.0,,,,13.0,93.0,,,,,112.0,399.0,419.0,757.0,651.0,496.0,587.0,264.0,398.0,1148.0,1447.0,370.0,402.0,516.0,,,,,162.602,780.0,246.0
Chickpeas (Garbanzo Beans) (Cooked),Beans and Lentils,164,2.59,8.86,27.42,4.8,7.6,0.0,0.269,49.0,2.89,291.0,48.0,27.0,1.0,1.3,0.0,0.0,0.35,,19.82,60.21,43.0,1113.0,2.518,0.0,,,,,,,,,,,168.0,7.0,1.53,0.35200000000000004,1.03,3.7,,,,0.116,0.063,0.526,0.28600000000000003,0.139,,172.0,0.0,172.0,172.0,42.8,,0.0,16.0,0.0,0.0,0.0,,,0.0,4.0,,,583.0,1156.0,,0.0,0.0,0.0,85.0,329.0,380.0,631.0,593.0,372.0,835.0,244.0,380.0,1042.0,1550.0,369.0,366.0,447.0,,0.0,0.0,0.0,121.951,695.0,235.0
Cooked Red Kidney Beans,Beans and Lentils,127,0.5,8.67,22.8,0.32,7.4,0.0,0.07200000000000001,28.0,2.94,403.0,45.0,0.0,0.0,1.2,0.0,0.0,0.03,,15.4,66.94,168.0,107.0,-0.5489999999999999,0.0,,,,,,,,,,,142.0,2.0,1.07,0.242,0.477,1.2,,,,0.16,0.058,0.578,0.22,0.12,,130.0,0.0,130.0,130.0,30.5,,0.0,0.0,0.0,0.0,0.0,,,0.0,8.4,,,39.0,275.0,,0.0,0.0,0.0,103.0,365.0,383.0,693.0,595.0,454.0,537.0,242.0,364.0,1049.0,1323.0,339.0,368.0,472.0,,0.0,0.0,0.0,157.48,713.0,224.0
Kidney Beans,Beans and Lentils,127,0.5,8.67,22.8,0.32,6.4,0.0,0.073,35.0,2.22,405.0,42.0,0.0,0.0,1.2,0.0,0.0,0.03,,16.4,66.94,170.0,108.0,-0.7509999999999999,0.0,,,,,,,,,,,138.0,1.0,1.0,0.21600000000000005,0.43,1.1,,,,0.16,0.058,0.578,0.22,0.12,,130.0,0.0,130.0,130.0,30.5,0.1,0.0,0.0,0.0,0.0,0.0,,,0.0,8.4,,,39.0,278.0,,0.0,0.0,0.0,104.0,319.0,410.0,736.0,607.0,500.0,475.0,238.0,394.0,1086.0,1393.0,351.0,496.0,544.0,,0.0,0.0,0.0,157.48,716.0,194.0
Lentils (Cooked),Beans and Lentils,116,0.38,9.02,20.13,1.8,7.9,0.0,0.053,19.0,3.33,369.0,36.0,8.0,0.0,1.5,0.0,0.0,0.11,,12.23,69.64,37.0,137.0,2.1,0.0,,,,,,,,,,,180.0,2.0,1.27,0.251,0.494,2.8,,,,0.16899999999999998,0.073,1.06,0.638,0.17800000000000002,,181.0,0.0,181.0,181.0,32.7,,0.0,5.0,0.0,0.0,0.0,,,0.0,1.7,,,64.0,175.0,,0.0,0.0,0.0,81.0,323.0,390.0,654.0,630.0,448.0,697.0,254.0,377.0,998.0,1399.0,367.0,377.0,416.0,,0.0,0.0,0.0,172.41400000000004,686.0,195.0
Peanut Butter (Chunk Style),Beans and Lentils,589,49.94,24.06,21.57,8.41,8.0,0.0,7.607,45.0,1.9,745.0,160.0,0.0,0.0,0.0,0.0,0.0,6.3,,13.57,1.14,78.0,13854.0,3.08,,,,4.19,4.22,0.0,0.0,0.0,0.0,4.93,,319.0,17.0,2.79,0.578,1.8,8.2,3.1,,,0.106,0.111,13.696,1.118,0.418,,92.0,0.0,92.0,92.0,61.3,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.5,0.5,,23123.0,13932.0,,0.0,0.0,0.0,228.0,518.0,608.0,1525.0,671.0,772.0,2731.0,550.0,903.0,3012.0,5023.0,1417.0,1389.0,1461.0,40.0,0.0,0.0,0.0,33.956,2003.0,488.0
Pinto Beans (Cooked),Beans and Lentils,143,0.65,9.01,26.22,0.34,9.0,0.0,0.136,46.0,2.09,436.0,50.0,0.0,0.0,0.8,0.0,0.0,0.94,,17.22,62.95,137.0,98.0,-1.259,0.0,,,0.34,0.0,0.0,0.0,0.0,0.0,15.15,,147.0,1.0,0.98,0.219,0.453,6.2,2.2,,,0.193,0.062,0.318,0.21,0.229,,172.0,0.0,172.0,172.0,35.3,0.1,0.0,0.0,0.0,0.0,0.0,,,0.0,3.5,0.0,,133.0,235.0,,0.0,0.0,0.0,108.0,331.0,426.0,765.0,630.0,519.0,494.0,247.0,409.0,1128.0,1447.0,365.0,515.0,565.0,,0.0,0.0,0.0,139.86,744.0,201.0
Raw Peanuts,Beans and Lentils,567,49.24,25.8,16.13,4.72,8.5,0.0,6.279,92.0,4.58,705.0,168.0,0.0,0.0,0.0,0.0,0.0,8.33,,7.63,6.5,3.0,15555.0,6.064,0.0,,,,,,,,,,,376.0,18.0,3.27,1.144,1.934,7.2,,,,0.64,0.135,12.066,1.767,0.348,,240.0,0.0,240.0,240.0,52.5,0.6,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,24426.0,15558.0,,0.0,0.0,0.0,250.0,883.0,907.0,1672.0,926.0,1082.0,3085.0,652.0,1025.0,3146.0,5390.0,1554.0,1138.0,1271.0,,0.0,0.0,0.0,35.273,2426.0,648.0
Unsalted Peanut Butter (Smooth),Beans and Lentils,598,51.36,22.21,22.31,10.49,5.0,0.0,10.325,49.0,1.74,558.0,168.0,0.0,0.0,0.0,0.0,0.0,9.1,,17.31,1.23,37.0,12284.0,6.449,0.075,,,10.25,0.13,0.12,0.0,0.0,0.0,3.56,,335.0,17.0,2.51,0.422,1.665,4.1,,,,0.15,0.192,13.112,1.137,0.441,,87.0,0.0,87.0,87.0,63.0,0.8,0.0,0.0,0.0,0.0,0.0,,,0.0,0.3,,,25941.0,12535.0,27.0,0.0,0.0,0.0,231.0,525.0,616.0,1546.0,681.0,782.0,2768.0,557.0,916.0,3054.0,5092.0,1437.0,1408.0,1481.0,,0.0,0.0,0.0,33.445,2031.0,494.0
